date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,outcome,home_advantage,scoreline,home_form,away_form,home_h2h,away_h2h,home_goals_scored,home_goals_conceded,away_goals_scored,away_goals_conceded,home_elo,away_elo,elo_diff,home_weighted_form,away_weighted_form,home_days_rest,away_days_rest,home_goal_diff,away_goal_diff,elo_closeness,form_closeness,combined_attack,combined_defence,expected_goals,home_under25_rate,away_under25_rate,home_clean_sheet_rate,away_clean_sheet_rate,combined_under25,combined_clean_sheets,draw_pressure_index,h2h_draw_rate
2018-01-07,Estonia,Sweden,1.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,2018,Draw,0,1.0-1.0,0.6,0.6,0.0,1.0,1.7,0.7,2.5,0.9,1629.8902185657037,1822.3999039402572,-192.50968537455356,0.564,0.602,42,55,1.0,1.6,0.005167699994263438,1.0,4.2,1.6,2.9000000000000004,0.5,0.4,0.6,0.5,0.45,0.55,0.248,0.5
2018-01-11,Denmark,Sweden,0.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,2018,Away win,0,0.0-1.0,0.5,0.5,0.4,0.6,2.0,0.6,2.2,1.0,1851.1499830840994,1809.8104696063208,41.33951347777861,0.481,0.508,58,4,1.4,1.2000000000000002,0.023618599219965956,1.0,4.2,1.6,2.9000000000000004,0.6,0.5,0.4,0.4,0.55,0.4,0.22,0.3
2018-01-11,Indonesia,Iceland,0.0,6.0,Friendly,Sleman,Indonesia,False,2018,Away win,1,0.0-6.0,0.4,0.6,0.5,0.5,1.4,1.0,1.3,0.6,1421.453259260891,1803.2901400704768,-381.83688080958586,0.366,0.609,36,58,0.3999999999999999,0.7000000000000001,0.002612078538215279,0.8333333333333334,2.7,1.6,2.1500000000000004,0.5,0.7,0.5,0.5,0.6,0.5,0.3,0.25
2018-01-11,Jordan,Finland,1.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,True,2018,Away win,0,1.0-2.0,0.4,0.4,0.5,0.5,2.0,0.6,1.2,0.9,1573.5622194296184,1628.530006782321,-54.967787352702544,0.364,0.399,17,63,1.4,0.29999999999999993,0.01786742065928237,1.0,3.2,1.5,2.35,0.6,0.7,0.6,0.4,0.6499999999999999,0.5,0.325,0.25
2018-01-14,Indonesia,Iceland,1.0,4.0,Friendly,Jakarta,Indonesia,False,2018,Away win,1,1.0-4.0,0.4,0.7,0.5,0.5,1.4,1.6,1.9,0.5,1411.4605036996122,1813.2828956317555,-401.8223919321433,0.354,0.714,3,3,-0.20000000000000018,1.4,0.0024824836454683807,0.7692307692307694,3.3,2.1,2.7,0.4,0.6,0.4,0.6,0.5,0.5,0.25,0.25
2018-01-27,Moldova,South Korea,0.0,1.0,Friendly,Antalya,Turkey,True,2018,Away win,0,0.0-1.0,0.1,0.2,0.5,0.5,0.7,1.7,0.9,1.3,1323.0327315392933,1752.3020448035106,-429.2693132642173,0.057,0.206,90,74,-1.0,-0.4,0.002324125772329773,0.9090909090909091,1.6,3.0,2.3,0.7,0.6,0.1,0.4,0.6499999999999999,0.25,0.162,0.25
2018-01-28,United States,Bosnia and Herzegovina,0.0,0.0,Friendly,Carson,United States,False,2018,Draw,1,0.0-0.0,0.3,0.5,0.5,0.5,1.4,1.0,2.1,1.4,1790.6866766142034,1727.1069985454835,63.579678068719886,0.284,0.451,75,90,0.3999999999999999,0.7000000000000002,0.015484747367986102,0.8333333333333334,3.5,2.4,2.95,0.7,0.3,0.2,0.4,0.5,0.30000000000000004,0.15,0.25
2018-01-30,Jamaica,South Korea,2.0,2.0,Friendly,Antalya,Turkey,True,2018,Draw,0,2.0-2.0,0.1,0.3,0.5,0.5,0.5,2.4,1.0,1.2,1411.6377612708216,1756.1976012497755,-344.55983997895396,0.087,0.287,90,3,-1.9,-0.19999999999999996,0.0028938547953399453,0.8333333333333334,1.5,3.5999999999999996,2.55,0.5,0.6,0.0,0.5,0.55,0.25,0.138,0.25
2018-01-30,Azerbaijan,Moldova,0.0,0.0,Friendly,Antalya,Turkey,True,2018,Draw,0,0.0-0.0,0.3,0.1,0.143,0.857,1.1,2.0,0.6,1.7,1401.3869433667346,1319.1371750930284,82.2497682737062,0.253,0.057,90,3,-0.8999999999999999,-1.1,0.0120120454475288,0.8333333333333334,1.7000000000000002,3.7,2.7,0.4,0.7,0.2,0.1,0.55,0.15000000000000002,0.083,0.571
2018-01-31,Mexico,Bosnia and Herzegovina,1.0,0.0,Friendly,San Antonio,United States,True,2018,Home win,0,1.0-0.0,0.6,0.5,0.667,0.33299999999999996,2.0,1.1,2.1,1.0,1948.7907523974854,1731.6315308233577,217.15922157412774,0.58,0.453,79,3,0.8999999999999999,1.1,0.004583808068182957,0.9090909090909091,4.1,2.1,3.0999999999999996,0.4,0.4,0.3,0.5,0.4,0.4,0.16,0.0
